model,auc,accuracy,params,param_str
XGBoost,0.8773593369527146,0.8833322122822358,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 200}","{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 200}"
XGBoost,0.8882606325468252,0.8897894666038878,"{'learning_rate': 0.05, 'max_depth': 6, 'n_estimators': 100}","{'learning_rate': 0.05, 'max_depth': 6, 'n_estimators': 100}"
XGBoost,0.8943550140074186,0.8954731956682586,"{'learning_rate': 0.05, 'max_depth': 6, 'n_estimators': 200}","{'learning_rate': 0.05, 'max_depth': 6, 'n_estimators': 200}"
XGBoost,0.8950323923089128,0.8953386695365575,"{'learning_rate': 0.05, 'max_depth': 10, 'n_estimators': 100}","{'learning_rate': 0.05, 'max_depth': 10, 'n_estimators': 100}"
XGBoost,0.8968475264367612,0.8974574561108495,"{'learning_rate': 0.05, 'max_depth': 10, 'n_estimators': 200}","{'learning_rate': 0.05, 'max_depth': 10, 'n_estimators': 200}"
XGBoost,0.878832074679706,0.883601264545638,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100}","{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100}"
XGBoost,0.8872167446002789,0.8881751530234748,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200}","{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200}"
XGBoost,0.8946048903403092,0.8956749848658102,"{'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 100}","{'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 100}"
XGBoost,0.8965424819239705,0.8967848254523442,"{'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 200}","{'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 200}"
XGBoost,0.8954903228951907,0.8968857200511199,"{'learning_rate': 0.1, 'max_depth': 10, 'n_estimators': 100}","{'learning_rate': 0.1, 'max_depth': 10, 'n_estimators': 100}"
XGBoost,0.8940284413474041,0.8963476155243156,"{'learning_rate': 0.1, 'max_depth': 10, 'n_estimators': 200}","{'learning_rate': 0.1, 'max_depth': 10, 'n_estimators': 200}"
MLP,0.8893721198581133,0.8508777830093496,"{'batch_size': 32, 'lr': 0.001, 'epochs': 10}","{'batch_size': 32, 'lr': 0.001, 'epochs': 10}"
MLP,0.8913232847359664,0.8707203874352593,"{'batch_size': 32, 'lr': 0.001, 'epochs': 15}","{'batch_size': 32, 'lr': 0.001, 'epochs': 15}"
MLP,0.8740076451326246,0.8500033631532925,"{'batch_size': 32, 'lr': 0.0001, 'epochs': 10}","{'batch_size': 32, 'lr': 0.0001, 'epochs': 10}"
MLP,0.8796390394098954,0.854409093966503,"{'batch_size': 32, 'lr': 0.0001, 'epochs': 15}","{'batch_size': 32, 'lr': 0.0001, 'epochs': 15}"
MLP,0.890267386220119,0.8702159144413802,"{'batch_size': 64, 'lr': 0.001, 'epochs': 10}","{'batch_size': 64, 'lr': 0.001, 'epochs': 10}"
MLP,0.89268692952866,0.877648483217865,"{'batch_size': 64, 'lr': 0.001, 'epochs': 15}","{'batch_size': 64, 'lr': 0.001, 'epochs': 15}"
MLP,0.8694700170505874,0.8483217865070289,"{'batch_size': 64, 'lr': 0.0001, 'epochs': 10}","{'batch_size': 64, 'lr': 0.0001, 'epochs': 10}"
MLP,0.874642737756465,0.8481872603753279,"{'batch_size': 64, 'lr': 0.0001, 'epochs': 15}","{'batch_size': 64, 'lr': 0.0001, 'epochs': 15}"
